Order Date,SKU ID,Order Quantity
11/19/2022,3084CA,1
6/30/2022,2621AA,20
4/19/2023,1193BA,147
5/21/2023,1971AA,10
3/31/2022,3177CA,56.25
7/4/2022,1385CA,13
6/28/2022,1479CA,4
12/21/2022,1206BA,21
5/6/2022,1486CA,2
5/14/2022,1479CA,10
8/16/2022,3399AA,2
8/31/2022,1970CA,15
12/7/2022,1497CA,160
8/16/2022,3512AA,100
12/15/2022,2970CA,1
6/6/2022,2277AA,300
4/14/2022,3462AA,50
2/22/2023,1193BA,90
5/2/2022,1385CA,7
11/20/2022,2212AA,2
8/28/2022,2621AA,4
1/5/2023,1695CA,1
8/9/2022,2078CA,2
9/16/2022,1995AA,190
12/13/2022,2847BA,582
3/2/2022,2337CA,252
12/4/2022,2488CA,18
4/19/2023,3079BA,6
9/7/2022,2317CA,2310
6/14/2022,1499AA,1000
4/26/2022,2458CA,24800
4/25/2022,1907AA,1
12/23/2022,1382CA,10
11/11/2022,3461CA,3
5/19/2022,2096BA,35
6/8/2022,2291AA,124
8/31/2022,2953BA,60
4/17/2022,3512AA,500
10/25/2022,2044CA,4
10/7/2022,3448CA,20
4/1/2023,2814BA,250
5/25/2022,1624CA,3
2/1/2023,2953BA,90
1/4/2023,1993AA,310
11/14/2022,3161BA,100
2/26/2022,2923CA,146
3/13/2023,2953BA,50
6/8/2022,2867AA,10
3/3/2022,3413AA,10
4/20/2022,1479CA,2
3/20/2022,1130AA,250
1/10/2023,2331CA,662
5/23/2023,2315BA,30
5/21/2023,2291AA,3360
2/11/2022,2189CA,5
1/25/2023,2212AA,4
5/9/2022,3576BA,10
6/20/2022,1382CA,4
10/13/2022,1479CA,2
4/6/2022,1499CA,1
7/18/2022,2200CA,4
3/14/2022,2277AA,744
1/2/2023,2956AA,9
7/24/2022,1193BA,31
8/15/2022,2515BA,401
5/10/2023,2039CA,10
5/16/2023,2331CA,82
8/7/2022,2501CA,12
2/27/2023,2317CA,180
12/6/2022,2066AA,1
6/13/2023,1486CA,5
5/1/2022,1163CA,505
5/18/2023,3177CA,67.5
11/22/2022,1511CA,20
11/5/2022,1906CA,1
5/4/2023,2212AA,2
3/18/2022,3590BA,2
12/4/2022,1479CA,2
11/24/2022,1083AA,80
4/23/2023,3084CA,1
9/13/2022,3533CA,30000
2/19/2022,3120BA,4
3/2/2023,3404CA,10
5/13/2023,2640BA,66
12/3/2022,3084CA,1
3/24/2022,1945AA,2
2/6/2022,1145BA,18
12/6/2022,2930CA,1
4/4/2022,2876CA,2
11/14/2022,2923CA,1
5/14/2022,2025AA,10
1/8/2023,2293AA,63
11/24/2022,2930CA,80
2/21/2022,1130AA,544
5/17/2023,2229AA,2
3/4/2023,1266CA,2
4/28/2022,3495CA,10
5/11/2022,3098AA,3
2/1/2022,1499CA,3
8/11/2022,1382CA,8
4/6/2022,3462AA,60
6/3/2023,2041CA,2
5/22/2023,1511CA,20
5/26/2023,1116CA,16668
4/13/2023,3177CA,45
4/3/2023,2013AA,130
8/22/2022,2785BA,606
5/25/2022,3619CA,36
5/1/2023,2606AA,4
12/2/2022,3448CA,8
2/17/2023,3125AA,5
1/25/2023,2930CA,1
5/27/2022,1193BA,16
2/26/2022,3250CA,200
3/23/2022,3461CA,3
3/13/2023,3495CA,5
3/26/2022,3125AA,20
3/17/2023,3448CA,80
4/20/2022,3160BA,1
4/20/2023,2342CA,55186
4/13/2023,3143CA,5
6/24/2022,1445BA,1
5/21/2023,3512AA,500
11/12/2022,3413AA,5
1/23/2023,1956CA,2
3/24/2022,1967BA,172
4/27/2023,2336BA,900
11/29/2022,2923CA,5
10/12/2022,2501CA,540
3/9/2023,1130AA,260
6/12/2022,2956AA,6
3/25/2023,2930CA,7
6/23/2022,2876CA,4
5/2/2022,2315BA,3175
3/28/2022,3551CA,578
5/4/2023,2513CA,2
3/20/2023,1967BA,70
10/29/2022,2930CA,6
5/30/2022,2867AA,1
8/22/2022,2923CA,1
7/21/2022,1083AA,5175
3/29/2022,3053AA,24
5/15/2023,3551CA,1000
8/31/2022,2396CA,930
3/1/2022,2054CA,5
4/4/2022,1145BA,61
3/7/2022,2564BA,62
3/24/2023,3084CA,1
6/3/2022,3495CA,4
6/19/2022,1970CA,100
12/27/2022,3404CA,15
1/21/2023,2956AA,28
6/11/2022,3120BA,5
9/10/2022,3160BA,25
7/18/2022,2359CA,5
2/5/2022,1009AA,1220
3/27/2023,2044CA,1
10/26/2022,2498CA,1
2/13/2023,3551CA,200
4/22/2022,1116CA,2000
6/5/2023,2189CA,6
7/16/2022,2483BA,16316
2/11/2022,3053AA,7
11/30/2022,1601AA,5
3/10/2022,3250CA,12
5/23/2023,2953CA,1
3/23/2022,2763CA,869
7/5/2022,1499AA,90
3/20/2023,2621AA,25
4/28/2022,3462AA,120
8/7/2022,1990AA,22.5
5/9/2022,1511CA,10
12/26/2022,1385CA,18
1/27/2023,1990AA,27.5
1/6/2023,2013AA,170
3/1/2022,3462AA,100
4/8/2023,3494AA,60
4/10/2023,3420AA,2
3/7/2022,1993AA,132.5
5/14/2023,3616CA,21
8/3/2022,3502BA,1
4/17/2022,3502BA,1
3/10/2022,3556AA,4
8/24/2022,3551CA,100
4/3/2023,1497CA,57
1/25/2023,1130AA,315
4/19/2022,3404CA,9
3/28/2022,1464AA,3
6/7/2023,2662CA,21
4/14/2023,1908AA,1
11/11/2022,2925CA,5
7/10/2022,1317CA,1
8/22/2022,2212AA,3
3/31/2022,3084CA,2
8/9/2022,1907AA,1
